route_id,route_name,avg_daily_riders,pct_corridor_no_car,cut_type,neighborhoods_served,is_persona_a_route,is_persona_b_route
059,59 - MON VALLEY,1930.6,28.0,reduced,None (see geography note),false,false
060,60 - MCKEESPORT - WALNUT,414.4,28.0,reduced,None (see geography note),false,false
061A,61A - NORTH BRADDOCK,4045.4,67.4,reduced,"Squirrel Hill North, Bluff, Squirrel Hill South, Crawford-Roberts, West Oakland, Central Oakland, North Oakland, South Oakland, Point Breeze, Central Business District, Regent Square",false,false
061B,61B - BRADDOCK-SWISSVALE,3388.4,67.4,reduced,"Squirrel Hill South, Squirrel Hill North, Bluff, Crawford-Roberts, West Oakland, Central Oakland, North Oakland, South Oakland, Point Breeze, Central Business District, Regent Square",false,false
061C,61C - MCKEESPORT-HOMESTEAD,4872.6,63.6,reduced,"Squirrel Hill South, Bluff, Squirrel Hill North, Crawford-Roberts, West Oakland, Central Oakland, Greenfield, North Oakland, South Oakland, Hazelwood, Central Business District",false,false
061D,61D - MURRAY,3118.2,63.6,reduced,"Squirrel Hill South, Squirrel Hill North, Central Oakland, Greenfield, West Oakland, North Oakland, South Oakland, Hazelwood, Bluff",false,false
064,64 - LAWRENCEVILLE - WATERFRONT,1586.4,50.4,reduced,"Bloomfield, Squirrel Hill North, Squirrel Hill South, Shadyside, Central Lawrenceville, Greenfield, Point Breeze, Lower Lawrenceville, Friendship, Hazelwood",false,false
067,67 - MONROEVILLE,1431.1,68.4,reduced,"Squirrel Hill North, Point Breeze, Point Breeze North, Central Oakland, North Oakland, West Oakland, Central Business District, Bluff, South Oakland",false,true
069,69 - TRAFFORD,1061.7,68.4,reduced,"Squirrel Hill North, Point Breeze, Point Breeze North, Central Oakland, North Oakland, West Oakland, Central Business District, Bluff, South Oakland",false,true
071A,71A - NEGLEY,3335.1,62.4,reduced,"East Liberty, Shadyside, Bloomfield, North Oakland, Friendship, Garfield, West Oakland, Highland Park, Central Oakland, South Oakland, Bluff",false,false
071B,71B - HIGHLAND PARK,3958.4,65.7,reduced,"Shadyside, Squirrel Hill North, Bluff, Crawford-Roberts, West Oakland, East Liberty, Highland Park, North Oakland, Central Oakland, South Oakland, Central Business District",false,false
071C,71C - POINT BREEZE,3597.5,60.9,reduced,"Shadyside, Bloomfield, East Liberty, North Oakland, Point Breeze, Point Breeze North, Friendship, West Oakland, Central Oakland, South Oakland, Bluff",false,true
071D,71D - HAMILTON,2435.8,57.1,reduced,"Shadyside, Homewood South, Point Breeze North, Squirrel Hill North, North Oakland, West Oakland, Central Oakland, Homewood West, East Hills, Point Breeze, South Oakland, Bluff",false,true
