_id,Variable Name,Group or subgroup,Universe or description,Period,Source ACS Table,Calculation
58,Var_2012_Age_Per_5,Age 65 and over,Percent of total population,2012,B01001,Var_2012_Age_5/Var_2012_TotalPopulation
59,Var_2022_Age_1,Under age 18,Population,2022,B01001,B01001_003E + B01001_004E + B01001_005E + B01001_006E + B01001_027E + B01001_028E + B01001_029E + B01001_030E
60,Var_2022_Age_2,Age 18-24,Population,2022,B01001,B01001_007E + B01001_008E + B01001_009E + B01001_010E + B01001_031E + B01001_032E + B01001_033E + B01001_034E
61,Var_2022_Age_3,Age 25-44,Population,2022,B01001,B01001_011E + B01001_012E + B01001_013E + B01001_014E + B01001_035E + B01001_036E + B01001_037E + B01001_038E
62,Var_2022_Age_4,Age 45-64,Population,2022,B01001,B01001_015E + B01001_016E + B01001_017E + B01001_018E + B01001_019E + B01001_039E + B01001_040E + B01001_041E + B01001_042E + B01001_043E
63,Var_2022_Age_5,Age 65 and over,Population,2022,B01001,B01001_044E + B01001_045E + B01001_046E + B01001_047E + B01001_048E + B01001_049E + B01001_020E + B01001_021E + B01001_022E + B01001_023E + B01001_024E + B01001_025E
64,Var_2022_Age_Per_1,Under age 18,Percent of total population,2022,B01001,Var_2022_Age_1/Var_2022_TotalPopulation
65,Var_2022_Age_Per_2,Age 18-24,Percent of total population,2022,B01001,Var_2022_Age_2/Var_2022_TotalPopulation
66,Var_2022_Age_Per_3,Age 25-44,Percent of total population,2022,B01001,Var_2022_Age_3/Var_2022_TotalPopulation
67,Var_2022_Age_Per_4,Age 45-64,Percent of total population,2022,B01001,Var_2022_Age_4/Var_2022_TotalPopulation
68,Var_2022_Age_Per_5,Age 65 and over,Percent of total population,2022,B01001,Var_2022_Age_5/Var_2022_TotalPopulation
69,Var_Change_Age_1,Under age 18,Change between periods (number),na,B01001,Var_2022_Age_1 - Var_2012_Age_1
70,Var_Change_Age_2,Age 18-24,Change between periods (number),na,B01001,Var_2022_Age_2 - Var_2012_Age_2
71,Var_Change_Age_3,Age 25-44,Change between periods (number),na,B01001,Var_2022_Age_3 - Var_2012_Age_3
72,Var_Change_Age_4,Age 45-64,Change between periods (number),na,B01001,Var_2022_Age_4 - Var_2012_Age_4
73,Var_Change_Age_5,Age 65 and over,Change between periods (number),na,B01001,Var_2022_Age_5 - Var_2012_Age_5
74,Var_ChangePer_Age_1,Under age 18,Change between periods (percent),na,B01001,Var_Change_Age_1/Var_2012_Age_1
75,Var_ChangePer_Age_2,Age 18-24,Change between periods (percent),na,B01001,Var_Change_Age_2/Var_2012_Age_2
76,Var_ChangePer_Age_3,Age 25-44,Change between periods (percent),na,B01001,Var_Change_Age_3/Var_2012_Age_3
77,Var_ChangePer_Age_4,Age 45-64,Change between periods (percent),na,B01001,Var_Change_Age_4/Var_2012_Age_4
